Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
477,98754.95,0,23943.17,0,98754.95,0
478,98754.95,0,22492.93,0,98754.95,0
479,98754.95,0,26639.87,0,98754.95,0
480,98552,0,27338.37,0,98754.95,0
481,98552,0,20375.34,0,98754.95,0
482,98754.95,0,23727.05,0,98754.95,0
483,98754.95,0,26847.3,0,98754.95,0
484,98552,0,21593.81,0,98754.95,0
485,98552,0,20966.78,0,98754.95,0
486,98754.95,0,16467.31,0,98754.95,0
487,98754.95,0,15532.8,0,98754.95,0
488,98552,0,15365.16,0,98754.95,0
489,98754.95,0,20796.63,0,98754.95,0
490,98754.95,0,19193.21,0,98754.95,0
491,98754.95,0,23291.1,0,98754.95,0
492,98552,0,15452.49,0,98754.95,0
493,98754.95,0,20668.15,0,98754.95,0
494,98754.95,0,24085.78,0,98754.95,0
495,98754.95,0,23555.98,0,98754.95,0
496,98552,0,20672.82,0,98754.95,0
497,98754.95,0,19594.18,0,98754.95,0
498,98754.95,0,22282.31,0,98754.95,0
499,98754.95,0,20984.93,0,98754.95,0
500,98754.95,0,20984.93,0,98754.95,0

