Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
363,61869.73,0,11017.77,0,61869.73,0
364,62069.73,0,10283.25,0,62069.73,0
365,61869.73,0,7893.14,0,61869.73,0
366,61869.73,0,15264.85,0,61869.73,0
367,62069.73,0,12244.04,0,62069.73,0
368,62069.73,0,11119.25,0,62069.73,0
369,61869.73,0,9887.716,0,61869.73,0
370,4645.82,0,4574.744,0,4645.82,0
371,4645.82,0,4604.031,0,4645.82,0
372,4656.26,0,4613.944,0,4656.26,0
373,4659.102,0,4617.485,0,4659.102,0
374,4666.971,0,4639.185,0,4666.971,0
375,5069.887,0,4655.613,0,5069.887,0
376,5069.887,0,4689.29,0,5069.887,0
377,26780.09,0,5811.995,0,26780.09,0
378,26780.09,0,6029.981,0,26780.09,0
379,26780.09,0,5914.278,0,26780.09,0
380,16098.7,0,5334.106,0,16098.7,0
381,16098.7,0,5394.952,0,16098.7,0
382,63990.05,0,8475.2,0,63990.05,0
383,64190.05,0,8154.533,0,64190.05,0
384,64190.05,0,8577.786,0,64190.05,0
385,68986.72,0,11665.28,0,68986.72,0
386,68986.72,0,10542.38,0,68986.72,0
387,71387.2,0,10251.16,0,71387.2,0
388,76219.8,0,10003.48,0,76219.8,0
389,68986.72,0,9791.965,0,68986.72,0
390,21770.26,0,5676.369,0,21770.26,0
391,21770.26,0,5716.179,0,21770.26,0
392,16334.95,0,5589.553,0,16334.95,0
393,8054.166,0,5429.173,0,8054.166,0
394,9056.264,0,5392.999,0,9056.264,0
395,34619.89,0,7216.005,0,34619.89,0
396,34819.89,0,7020.051,0,34819.89,0
397,34619.89,0,6363.361,0,34619.89,0
398,34619.89,0,6477.236,0,34619.89,0
399,34619.89,0,8640.907,0,34619.89,0
400,5272.613,0,4515.292,0,5272.613,0
401,5873.77,0,4602.787,0,5873.77,0
402,53053.67,0,7123.781,0,53053.67,0
403,53053.67,0,8825.295,0,53053.67,0
404,53053.67,0,15433.9,0,53053.67,0
405,53053.67,0,10322.71,0,53053.67,0
406,53053.67,0,10332.67,0,53053.67,0
407,53053.67,0,18125.85,0,53053.67,0
408,53053.67,0,15778.27,0,53053.67,0
409,53053.67,0,11205.99,0,53053.67,0
410,6671.451,0,4968.922,0,6671.451,0
411,6671.451,0,5140.515,0,6671.451,0
412,6701.106,0,5187.534,0,6701.106,0
413,13436.76,0,6181.017,0,13436.76,0
414,63012.63,0,13514.19,0,63012.63,0
415,66612.74,0,16460.93,0,66612.74,0
416,66612.74,0,10801.48,0,66612.74,0
417,62812.63,0,21616.5,0,62812.63,0
418,64613.74,0,18848.46,0,64613.74,0
419,64613.74,0,16001.65,0,64613.74,0
420,4732.347,0,4717.13,0,4732.347,0
421,4733.261,0,4725.458,0,4733.261,0
422,4735.764,0,4727.938,0,4735.764,0
423,4738.115,0,4731.153,0,4738.115,0
424,4740.311,0,4730.979,0,4740.311,0
425,4746.285,0,4734.559,0,4746.285,0
426,4783.665,0,4741.104,0,4783.665,0
427,4800.021,0,4744.11,0,4800.021,0
428,4809.447,0,4756.405,0,4809.447,0
429,10407.05,0,5167.276,0,10407.05,0
430,54868.68,0,7738.994,0,54868.68,0
431,65345.75,0,13969.88,0,65345.75,0
432,66345.64,0,12924.49,0,66345.64,0
433,65345.75,0,18017.52,0,65345.75,0
434,72911.23,0,23528.31,0,72911.23,0
435,72911.23,0,21568.76,0,72911.23,0
436,72911.23,0,17383.89,0,72911.23,0
437,72911.23,0,10185.91,0,72911.23,0
438,72911.23,0,15369.08,0,72911.23,0
439,72911.23,0,16355.89,0,72911.23,0
